gene_symbol,de_score,de_celltypes,n_de_celltypes,max_log2fc,min_padj,pathway_score,n_pathways,pathway_names,lr_score,n_lr_interactions,lr_pairs,specificity_score,genetic_score,ot_genetic_score,has_genetic_evidence,druggability_score,convergence_bonus,composite_score,priority_tier,rank
SERPINA1,0.3010601168698977,Scar-associated_macrophages,1,0.981336615108746,0.0014557252635312,0.33999999999999997,25,Estrogen Response Late; Complement; Coagulation,0.5,20,SERPINA1-LRP1,0.5,0.6293950586636899,0.9122539693978772,True,0.3832351405703435,True,0.5412552709505443,HIGH,1
NFKB1,0.38749470927514773,Kupffer_cells,1,2.298143733517033,0.0445390469670495,0.6200000000000001,26,UV Response Dn; TNF-alpha Signaling via NF-kB; Interferon Gamma Response; Inflammatory Response,0.0,0,,0.5,0.6126544847939642,0.8395947843069385,True,0.41033491739072214,True,0.5222553607945547,HIGH,2
C3,1.0,Kupffer_cells; Monocytes; Myofibroblasts; Scar-associated_macrophages,4,4.4531610289076,2.1157364464223798e-10,1.0,190,Myc Targets V1; heme Metabolism; Glycolysis; DNA Repair; G2-M Checkpoint,0.5,20,C3-NRP1; C3-IFITM1; C3-CD19; C3-CD81,0.3,0.0733776291915521,0.0,False,0.135090808529007,False,0.493608028577239,HIGH,3
KRT18,0.5279150386224625,Myofibroblasts; Sinusoidal_endothelial,2,2.2577106616927805,0.0010433309658882,0.04,22,Estrogen Response Early; Apoptosis; Protein Secretion,0.0,0,,0.7,0.6065909192076269,0.865457038266544,True,0.39359904132366746,True,0.4707247124699392,HIGH,4
VWF,1.0,CD4_T_cells; CD8_T_cells; Endothelial_capillary; Scar-associated_endothelial_ACKR1pos; Scar-associated_endothelial_PLVAPpos; Sinusoidal_endothelial; Vascular_smooth_muscle,7,5.830195147749234,1.8980606866612706e-29,0.4600000000000001,25,Apical Junction; Coagulation,0.5,20,VWF-SIRPA; VWF-ITGA9; VWF-ITGB1; VWF-STAB2; VWF-ITGA4,0.3,0.13082161096716205,0.0,False,0.23324401682837598,False,0.4416920052660469,HIGH,5
SPP1,0.945639333227211,Monocytes; Plasma_cells; T_cells_low_quality,3,4.540064577290806,5.269470487707324e-05,0.4000000000000001,24,Epithelial Mesenchymal Transition; KRAS Signaling Up; Angiogenesis; IL-2/STAT5 Signaling,0.5,20,SPP1-ITGA9_ITGB1; SPP1-S1PR1; SPP1-PTGER4; SPP1-CD44,0.7,0.08972636898589456,0.0,False,0.15997462929078515,False,0.44055565328553364,HIGH,6
FN1,1.0,Monocytes; Myofibroblasts; Scar-associated_macrophages; Sinusoidal_endothelial,4,6.006746232408063,1.1378801474015043e-25,0.6600000000000001,38,Apical Junction; Epithelial Mesenchymal Transition; Complement; PI3K/AKT/mTOR  Signaling; Coagulation,0.5,20,FN1-CD44; FN1-DPP4; FN1-ITGAV_ITGB8; FN1-CD79A; FN1-PLAUR,0.3,0.03963584743360977,0.0,False,0.0706674088284419,False,0.4245090731826688,HIGH,7
TIMP1,0.5955740611846999,Vascular_smooth_muscle,1,2.724709217277942,0.0001344853627219,0.8400000000000001,41,Allograft Rejection; Epithelial Mesenchymal Transition; Complement; Apoptosis; Inflammatory Response,0.5,20,TIMP1-CD63,0.5,0.04308578812108035,0.0,False,0.07681836521719385,False,0.3924090140497892,HIGH,8
CD9,0.4879059700277849,Monocytes,1,1.8225475414824728,0.0018777330129689,0.5600000000000002,45,Estrogen Response Late; Apical Junction; mTORC1 Signaling; IL-6/JAK/STAT3 Signaling; Cholesterol Homeostasis,0.5,20,IL16-CD9; HBEGF-CD9; CD40LG-CD9,1.0,0.06086660518455124,0.0,False,0.10852007844113128,False,0.3880758570678645,HIGH,9
KRT8,0.39935696186515524,Sinusoidal_endothelial,1,1.94507509906904,0.0046391642029933,0.0,7,Estrogen Response Early; Androgen Response,0.0,0,,0.5,0.5404006249133223,0.8274613634158176,True,0.3104674201783376,True,0.3738499939537347,HIGH,10
LGALS3,0.37287646633714355,Scar-associated_endothelial_ACKR1pos,1,2.0802798980848656,0.0255997925320317,0.6600000000000001,35,Interferon Alpha Response; Cholesterol Homeostasis; Complement; Apoptosis; Interferon Gamma Response,0.5,20,LGALS3-ENG,0.5,0.1351078801231303,0.0,False,0.24262129287921996,False,0.3687454572300943,HIGH,11
CD14,0.7178194133663978,Sinusoidal_endothelial,1,2.3215762813362657,1.5682002311320797e-07,0.22999999999999998,17,Apoptosis; Inflammatory Response; IL-6/JAK/STAT3 Signaling,0.5,20,CD14-ITGB2; CD14-ITGB1,0.5,0.12280243417908433,0.0,False,0.21894649372129832,False,0.36660646527624535,HIGH,12
MIF,0.40626588558496546,Myofibroblasts,1,1.8831942892941025,0.0348573569852478,0.32000000000000006,14,Hypoxia; Glycolysis; Fatty Acid Metabolism,0.5,20,MIF-CD74_CXCR4,1.0,0.09812222648731742,0.0,False,0.17494374268017823,False,0.35502529514084913,HIGH,13
CLEC4G,0.9298628460352901,Plasma_cells; Scar-associated_endothelial_ACKR1pos; Scar-associated_endothelial_PLVAPpos; Scar-associated_macrophages; Sinusoidal_endothelial,5,5.520189287922971,3.952490916589657e-05,0.0,0,,0.5,10,CLEC4G-LAG3,0.3,0.1162021340529154,0.0,False,0.20717870931382068,False,0.35109990911736,HIGH,14
SERPINF1,0.8724354710463685,Kupffer_cells; Myofibroblasts; Vascular_smooth_muscle,3,3.1918395484457585,3.5441112549193925e-06,0.0,0,,0.5,20,SERPINF1-PLXDC2,0.7,0.0467217438579178,0.0,False,0.08330097091819702,False,0.34366267581148274,HIGH,15
THY1,0.7379903678243969,Sinusoidal_endothelial; Vascular_smooth_muscle,2,3.919110177636136,3.05488191110054e-05,0.12000000000000001,12,Hedgehog Signaling; Apical Junction; Epithelial Mesenchymal Transition; Apical Surface; Allograft Rejection,0.5,20,THY1-ITGAX_ITGB2; ITGB2-THY1; ITGAV-THY1; THY1-ITGAM_ITGB2,0.3,0.12384305971292642,0.0,False,0.220801842220167,False,0.3346791148261361,HIGH,16
STAB1,0.905797764602612,Kupffer_cells; Scar-associated_macrophages,2,2.564576597248766,9.437360615770896e-09,0.28,6,Allograft Rejection; Inflammatory Response,0.5,20,CD59-STAB1,0.3,0.0,0.0,False,0.0,False,0.32815955292052246,HIGH,17
CD58,0.21666665954384476,Endothelial_capillary,1,1.0150371461826826,0.0441089896687171,0.0,0,,0.5,20,CD58-CD2,0.5,0.47307857359925154,0.7240545993577134,True,0.2591950431833796,False,0.32548223178608876,HIGH,18
PLAT,0.8647752045651274,Scar-associated_endothelial_ACKR1pos; Sinusoidal_endothelial,2,3.072206436452783,3.6644774374521474e-07,0.12000000000000001,26,Complement; KRAS Signaling Up; Apoptosis; Coagulation,0.5,20,PLAT-ITGAM; PLAT-LRP1,0.3,0.051478107956781774,0.0,False,0.09178117124378225,False,0.3225917435887883,HIGH,19
CD36,0.8147049010723978,Vascular_smooth_muscle,1,2.926981197942725,8.433107650368679e-08,0.14,23,Fatty Acid Metabolism; IL-6/JAK/STAT3 Signaling; Complement; Myogenesis; Xenobiotic Metabolism,0.5,20,S100A12-CD36; COL1A2-CD36; S100A8-CD36; COL1A1-CD36; S100A9-CD36,0.5,0.02365906606601232,0.0,False,0.04955683095161765,False,0.32228927137372526,HIGH,20
PECAM1,0.7698474210903126,Vascular_smooth_muscle,1,4.4277571793815245,6.852930307221288e-07,0.28,9,Apical Junction; KRAS Signaling Up; Coagulation,0.5,20,EFNB2-PECAM1; CD38-PECAM1; MMP2-PECAM1,0.5,0.0,0.0,False,0.0,False,0.32096948421806254,HIGH,21
ANXA2,0.5607207593323941,Kupffer_cells; Myofibroblasts; Sinusoidal_endothelial,3,1.7680250766381085,0.0022437095363281,0.04,12,Hypoxia; UV Response Dn,0.5,20,ANXA2-ROBO4; ANXA2-TLR2,0.7,0.10419138174041712,0.0,False,0.18576454009677132,False,0.31705667831609885,HIGH,22
AGTR1,0.5846293285959048,Myofibroblasts,1,3.13003352089358,0.0352220703858364,0.0,0,,0.5,20,HRAS-AGTR1; AGT-AGTR1,1.0,0.041438606614028727,0.0,False,0.08224886580202305,False,0.3146228472429916,HIGH,23
GAS6,0.63441797941613,Kupffer_cells,1,2.1382464712186606,1.5066966916435115e-06,0.0,0,,0.5,20,GAS6-AXL,0.5,0.1203376683301433,0.0,False,0.21455202186838163,False,0.3141508162460191,HIGH,24
FABP5,1.0,Endothelial_capillary; Scar-associated_endothelial_ACKR1pos; Sinusoidal_endothelial,3,4.451846039791921,1.1613459761653273e-23,0.06,12,Estrogen Response Late; Cholesterol Homeostasis,0.5,20,FABP5-RXRA,0.3,0.0,0.0,False,0.0,False,0.31400000000000006,HIGH,25
ACKR1,1.0,Monocytes; NK_T_cells; Scar-associated_endothelial_ACKR1pos; Scar-associated_endothelial_PLVAPpos; Scar-associated_macrophages; Sinusoidal_endothelial,6,5.394386020521193,1.0241031138420391e-11,0.02,9,heme Metabolism,0.5,20,CXCL1-ACKR1; CCL14-ACKR1; CCL5-ACKR1; CXCL2-ACKR1; CCL2-ACKR1,0.3,0.0,0.0,False,0.0,False,0.30800000000000005,HIGH,26
S100A10,0.7241670332893478,Kupffer_cells; Myofibroblasts,2,2.773136359432701,0.001044725260297,0.12000000000000001,17,p53 Pathway; Fatty Acid Metabolism,0.5,20,S100A10-CFTR,0.7,0.0,0.0,False,0.0,False,0.30783340665786957,HIGH,27
APOD,0.936975449472486,Scar-associated_endothelial_ACKR1pos; Scar-associated_endothelial_PLVAPpos; Sinusoidal_endothelial; Vascular_smooth_muscle,4,6.215736253413397,4.509837610962583e-06,0.1,8,KRAS Signaling Up; Myogenesis,0.5,12,APOD-LEPR,0.3,0.0,0.0,False,0.0,False,0.30739508989449726,HIGH,28
GPC3,0.6386654735497362,Vascular_smooth_muscle,1,5.747624987831789,0.0001052548477795,0.07,3,Hypoxia; Glycolysis; Inflammatory Response,0.5,20,GPC3-FLT1; GPC3-LRP1; GPC3-CD81,0.5,0.07530367398154336,0.0,False,0.13562269948445663,False,0.3024024181280016,HIGH,29
CTHRC1,0.5916952060605768,Myofibroblasts,1,3.762705132433649,0.0280981478636986,0.04,4,Epithelial Mesenchymal Transition,0.5,20,CTHRC1-ROR2; CTHRC1-FZD3; CTHRC1-FZD6; CTHRC1-FZD5,1.0,0.0,0.0,False,0.0,False,0.2993390412121154,HIGH,30
MCAM,0.6184906942590983,Myofibroblasts,1,4.771577512587142,0.0119266406814071,0.0,0,,0.5,20,LGALS3-MCAM,1.0,0.0,0.0,False,0.0,False,0.2986981388518197,HIGH,31
SLPI,0.6184906942590983,Myofibroblasts,1,4.549415539022616,0.0119266406814071,0.0,4,KRAS Signaling Up,0.5,20,SLPI-PLSCR4; SLPI-PLSCR1; SLPI-CD4,1.0,0.0,0.0,False,0.0,False,0.2986981388518197,HIGH,32
CD4,0.0,,0,0.0,1.0,0.9200000000000003,75,Estrogen Response Late; KRAS Signaling Dn; Glycolysis; Interferon Alpha Response; Epithelial Mesenchymal Transition,0.5,20,HLA-DPB1-CD4; HLA-DRB1-CD4; HLA-DPA1-CD4; HLA-DRA-CD4,0.0,0.1639350104209383,0.0,False,0.2922824451304095,False,0.29782611937479603,HIGH,33
PLA2G2A,0.5908789893776938,Myofibroblasts,1,4.295186630331084,0.028841247166856,0.02,2,IL-6/JAK/STAT3 Signaling,0.5,20,PLA2G2A-ITGA5; PLA2G2A-ITGAV; PLA2G2A-EGFR; PLA2G2A-ITGB1; PLA2G2A-ITGA4,1.0,0.0,0.0,False,0.0,False,0.29617579787553877,HIGH,34
CCL2,0.0,,0,0.0,1.0,0.54,23,KRAS Signaling Up; Interferon Gamma Response; Inflammatory Response; Unfolded Protein Response; Allograft Rejection,1.0,20,CCL2-CCR10; CCL2-CCR2; CCL2-CCR5; CCL2-ACKR1; CCL2-CCR1,0.0,0.12585612074107913,0.0,False,0.2243909620670771,False,0.2961226744953313,HIGH,35
IRF8,0.5249100168935714,CD4_T_cells,1,2.753613294733247,0.0023476879637738,0.1,22,KRAS Signaling Up; Interferon Gamma Response; Xenobiotic Metabolism; IL-2/STAT5 Signaling; Allograft Rejection,0.0,0,,0.5,0.22961130427314186,0.3498383128624133,True,0.12699441302220335,True,0.2957207896803963,HIGH,36
TNF,0.0,,0,0.0,1.0,1.0,71,Hypoxia; KRAS Signaling Up; Androgen Response; IL-6/JAK/STAT3 Signaling; Epithelial Mesenchymal Transition,0.5,20,TNF-FAS; TNF-TRADD; TNF-FLT4; TNF-TRAF2; TNF-TNFRSF1B,0.0,0.13416228818770004,0.0,False,0.2392001655723394,False,0.2944205968827759,HIGH,37
COL1A1,0.543197408560477,Myofibroblasts; Vascular_smooth_muscle,2,2.388253874396833,0.0023386721456209,0.14,8,Epithelial Mesenchymal Transition; Myogenesis; UV Response Dn,0.5,20,COL1A1-CD36; COL1A1-CD44; COL1A1-CD93; COL1A1-FLT4; COL1A1-SDC1,0.7,0.03594326246626825,0.0,False,0.06408383793449378,False,0.2932378730188365,HIGH,38
HLA-DQA2,0.5908789893776938,Myofibroblasts,1,6.156579549790732,0.028841247166856,0.0,0,,0.5,20,HLA-DQA2-LAG3; HLA-DQA2-CD4,1.0,0.0,0.0,False,0.0,False,0.29317579787553877,HIGH,39
ENO1,0.484511508497989,Kupffer_cells; Myofibroblasts,2,1.887339459164663,0.0119266406814071,0.32000000000000006,30,Hypoxia; Glycolysis; mTORC1 Signaling,0.5,20,APOB-ENO1,0.7,0.0,0.0,False,0.0,False,0.2899023016995978,HIGH,40
RAMP2,0.723955828022707,Myofibroblasts; Vascular_smooth_muscle,2,3.346034278356913,4.9846993523006815e-05,0.0,0,,0.5,20,SCT-RAMP2; POMC-RAMP2; ADM-RAMP2,0.7,0.0,0.0,False,0.0,False,0.2897911656045414,HIGH,41
LGALS1,0.7918315263555508,Kupffer_cells; Sinusoidal_endothelial,2,2.81421810750686,1.804557179156873e-06,0.16,17,Epithelial Mesenchymal Transition; Fatty Acid Metabolism,0.5,20,LGALS1-CD69; LGALS1-PTPRC,0.3,0.0,0.0,False,0.0,False,0.2873663052711102,HIGH,42
AXL,0.40341049405540974,Kupffer_cells; Vascular_smooth_muscle,2,1.8614953802198029,0.0105773332513347,0.2,5,Inflammatory Response,0.5,20,PROS1-AXL; IL15RA-AXL; GAS6-AXL; ADAM10-AXL,0.3,0.13795702831841206,0.0,False,0.24596587059892924,False,0.2870662364805243,HIGH,43
SOCS3,0.6331437656493099,Myofibroblasts; Sinusoidal_endothelial; Vascular_smooth_muscle,3,2.6733346295676728,0.0018366394684244,0.6000000000000001,25,TNF-alpha Signaling via NF-kB; Interferon Gamma Response; IL-6/JAK/STAT3 Signaling,0.0,0,,0.7,0.0,0.0,False,0.0,False,0.28662875312986197,HIGH,44
ADAM23,0.4816948186478846,Scar-associated_endothelial_ACKR1pos,1,4.646337222174277,0.0434930324814029,0.0,1,Apical Junction,0.0,0,,0.5,0.27812082125366167,0.4245397110002666,True,0.15322871192860296,True,0.2866241709987394,HIGH,45
F13A1,0.7955934916621668,Kupffer_cells,1,5.202463740462881,2.551379953873805e-07,0.0,2,KRAS Signaling Up,0.5,20,F13A1-ITGA4; F13A1-ITGB1; F13A1-ITGA9,0.5,0.0,0.0,False,0.0,False,0.28411869833243336,HIGH,46
LGALS3BP,0.5192553784690805,Scar-associated_endothelial_ACKR1pos; Sinusoidal_endothelial,2,2.628053011521564,0.0093888428301311,0.5000000000000001,18,Interferon Gamma Response; Interferon Alpha Response,0.5,20,LGALS3BP-ITGB1,0.3,0.0,0.0,False,0.0,False,0.2838510756938162,HIGH,47
SCGB3A1,0.7925196882452177,Scar-associated_endothelial_ACKR1pos,1,3.530323938648793,2.870814928340636e-07,0.0,0,,0.5,20,SCGB3A1-MARCO; SCGB3A1-NOTCH3,0.5,0.0,0.0,False,0.0,False,0.2835039376490435,HIGH,48
SEMA3G,0.7740852562398325,Sinusoidal_endothelial,1,5.767306132839596,5.824326723638561e-07,0.0,0,,0.5,10,SEMA3G-NRP2_PLXNA1; SEMA3G-FCGR2A; SEMA3G-NRP2_PLXNA2,0.5,0.0,0.0,False,0.0,False,0.2798170512479665,HIGH,49
PLVAP,0.9224908288717947,Vascular_smooth_muscle,1,4.967571767826119,1.958030799059712e-09,0.12,9,KRAS Signaling Up,0.0,0,,0.5,0.05131007232779187,0.0,False,0.09148157773789181,False,0.27904792051699073,HIGH,50
CD44,0.3672251650668654,Kupffer_cells; Vascular_smooth_muscle,2,1.6676587753091952,0.0138640698267771,0.52,36,Estrogen Response Late; Glycolysis; IL-6/JAK/STAT3 Signaling; Epithelial Mesenchymal Transition; Apoptosis,0.5,20,VIM-CD44,0.3,0.042903268415097666,0.0,False,0.0764929478105513,False,0.2786447922887302,HIGH,51
FBLN1,0.7440661469090306,Sinusoidal_endothelial; Vascular_smooth_muscle,2,5.224583386475594,2.471366571910871e-05,0.16,4,Epithelial Mesenchymal Transition; Xenobiotic Metabolism,0.5,20,FBLN1-ITGB1,0.3,0.0,0.0,False,0.0,False,0.2778132293818061,HIGH,52
NAMPT,0.29499873534494725,Kupffer_cells,1,1.500465818758734,0.026165130011985,0.6200000000000001,30,Interferon Gamma Response; TNF-alpha Signaling via NF-kB; Inflammatory Response; mTORC1 Signaling,0.5,20,NAMPT-INSR; NAMPT-ITGA5_ITGB1,0.5,0.0,0.0,False,0.0,False,0.27699974706898944,HIGH,53
KRT19,0.7114219188680202,Myofibroblasts,1,4.283897593707852,0.0006106701366465,0.04,4,Estrogen Response Late; Estrogen Response Early; Androgen Response,0.0,0,,1.0,0.05502247137372053,0.0,False,0.0981004754807088,False,0.27675507293914053,HIGH,54
CD8A,0.34043123723244784,CD4_T_cells; T_cells_low_quality,2,1.6462002691487734,0.0316354321440689,0.12000000000000001,5,Allograft Rejection,0.5,20,HLA-A-CD8A; HLA-C-CD8A; HLA-B-CD8A,0.3,0.16188307795011334,0.0,False,0.2886240207445798,False,0.2748506200457049,HIGH,55
CCL14,0.8395322081849236,Scar-associated_endothelial_PLVAPpos; Vascular_smooth_muscle,2,4.562456749936548,8.840599046392373e-07,0.0,0,,0.5,20,CCL14-CCR5; CCL14-ACKR1; CCL14-ACKR2; CCL14-CCR1,0.3,0.0,0.0,False,0.0,False,0.27290644163698474,HIGH,56
NTS,0.7353790410038104,Scar-associated_endothelial_ACKR1pos,1,3.611488429053749,2.5724640639815017e-06,0.0,0,,0.5,20,NTS-NGFR; NTS-SORT1,0.5,0.0,0.0,False,0.0,False,0.27207580820076205,HIGH,57
TREM2,0.6295781348065609,Monocytes; Scar-associated_macrophages,2,2.6822709293251843,0.0102655728977234,0.0,0,,0.5,20,APOB-TREM2; ADAM10-TREM2; APOE-TREM2,0.7,0.0,0.0,False,0.0,False,0.27091562696131216,HIGH,58
ANXA1,0.6014365641315642,Sinusoidal_endothelial; Vascular_smooth_muscle,2,1.9216877402898884,1.437944044803594e-05,0.3,13,Cholesterol Homeostasis; Apoptosis; Coagulation,0.5,20,ANXA1-DYSF; ANXA1-FPR1,0.3,0.0,0.0,False,0.0,False,0.2702873128263128,HIGH,59
KLRF1,0.7262663643116165,CD8_T_cells,1,2.476472713871814,2.5051474458869694e-07,0.0,0,,0.5,20,CLEC2B-KLRF1,0.5,0.0,0.0,False,0.0,False,0.2702532728623233,HIGH,60
TRIB1,0.23395778362786174,Kupffer_cells,1,1.1246264880101589,0.0397991300879868,0.35000000000000003,7,KRAS Signaling Up; TNF-alpha Signaling via NF-kB,0.0,0,,0.5,0.37303418129621996,0.6001327017687923,True,0.1824195760295595,False,0.2699130384540613,HIGH,61
DEFB1,0.4957708182082725,Scar-associated_endothelial_PLVAPpos,1,4.238379695936187,0.0253407635458832,0.0,0,,0.5,20,DEFB1-CCR6,0.5,0.08760419276541516,0.0,False,0.15619096616033706,False,0.2694838567570589,HIGH,62
CXCR3,0.4542692788985212,CD8_T_cells; NK_T_cells,2,1.880243148319113,0.0019744686624689,0.0,3,Allograft Rejection,0.5,20,CXCL12-CXCR3; CCL5-CXCR3; CCL21-CXCR3,0.3,0.14116281126000818,0.0,False,0.2516815140988817,False,0.2688967857095385,HIGH,63
TXN,0.3480847789881432,Myofibroblasts,1,1.4774348307972904,0.0280981478636986,0.6600000000000003,62,Myc Targets V1; Bile Acid Metabolism; Reactive Oxygen Species Pathway; Glycolysis; mTORC1 Signaling,0.0,0,,1.0,0.0,0.0,False,0.0,False,0.2686169557976287,HIGH,64
CFH,0.40152221408954236,Vascular_smooth_muscle,1,2.290365220035953,0.0249840929797027,0.42000000000000004,19,Complement; KRAS Signaling Up; Interferon Gamma Response; Coagulation,0.5,20,CFH-ITGAM,0.5,0.0,0.0,False,0.0,False,0.2683044428179085,HIGH,65
MMP2,0.5724463089846142,Sinusoidal_endothelial,1,3.4332990351376798,0.0013362719442488,0.02,7,Epithelial Mesenchymal Transition; Apical Junction; Apoptosis; Coagulation,0.5,20,MMP2-FGFR1; MMP2-CCR2; MMP2-PECAM1,0.5,0.0492693259595703,0.0,False,0.08784309723965517,False,0.2679830578727637,HIGH,66
CD226,0.0,,0,0.0,1.0,0.0,0,,0.5,20,ITGB2-CD226,0.0,0.5393531827645046,0.703880986413772,True,0.38697822956861255,False,0.26788503012641807,HIGH,67
EDNRB,0.5090867800482076,Scar-associated_endothelial_ACKR1pos; Scar-associated_endothelial_PLVAPpos,2,2.3596125080294184,0.000875446667858,0.0,0,,0.5,20,GNAI2-EDNRB; EDN1-EDNRB,0.3,0.1163182467051573,0.0,False,0.21243861412781787,False,0.2677627098051035,HIGH,68
VIM,0.7765777310778841,Endothelial_capillary; NK_T_cells; Sinusoidal_endothelial,3,2.202744850395189,1.2858394203109715e-06,0.04,5,Epithelial Mesenchymal Transition,0.5,20,VIM-CD44,0.3,0.0,0.0,False,0.0,False,0.26631554621557685,HIGH,69
VCAN,0.48167084302257884,Vascular_smooth_muscle,1,3.1280922234694764,0.0435330687765768,0.29000000000000004,12,Epithelial Mesenchymal Transition; Glycolysis; Apical Junction; Angiogenesis,0.5,20,VCAN-SELL; VCAN-ITGB1; VCAN-CD44,0.5,0.0,0.0,False,0.0,False,0.26483416860451575,HIGH,70
CXCL12,0.4052129021376769,Kupffer_cells,1,1.4260842539181946,0.0002603321174923,0.04,5,Epithelial Mesenchymal Transition; Estrogen Response Early; Estrogen Response Late,0.5,20,CXCL12-ITGB1; CXCL12-CXCR4,0.5,0.10086403022708229,0.0,False,0.17983214997687746,False,0.26423341048083754,HIGH,71
BMP4,0.7939316290444342,Scar-associated_endothelial_PLVAPpos; Sinusoidal_endothelial,2,3.735826709167712,4.339099009152109e-06,0.0,0,,0.5,20,BMP4-GREM2; BMP4-LRP6,0.3,0.0,0.0,False,0.0,False,0.26378632580888683,HIGH,72
B4GALT1,0.4157408288039868,Kupffer_cells,1,1.956248195159372,0.0026194155301988,0.8600000000000003,61,Apical Junction; Glycolysis; Androgen Response; Apical Surface; Estrogen Response Early,0.0,0,,0.5,0.0,0.0,False,0.0,False,0.2621481657607974,HIGH,73
MRC1,0.5597659678797825,Scar-associated_endothelial_ACKR1pos,1,2.044571662531588,1.637041862716161e-05,0.0,0,,0.5,20,MRC1-PTPRC,0.5,0.04757470702798399,0.0,False,0.08482173308067217,False,0.2615701302950533,HIGH,74
JUN,0.44476312303087767,Monocytes,1,1.0220906515065051,0.0001241786577546,0.48000000000000015,56,Reactive Oxygen Species Pathway; Hypoxia; IL-6/JAK/STAT3 Signaling; Epithelial Mesenchymal Transition; UV Response Up,0.0,0,,1.0,0.0,0.0,False,0.0,False,0.2609526246061755,HIGH,75
IGFBP4,0.3613036161988098,NK_T_cells,1,2.1154655198792245,0.0477867562747972,0.42,24,Estrogen Response Late; Estrogen Response Early; Epithelial Mesenchymal Transition; Xenobiotic Metabolism,0.5,20,IGFBP4-LRP6,0.5,0.0,0.0,False,0.0,False,0.26026072323976196,HIGH,76
INSR,0.5019679804464752,Scar-associated_endothelial_ACKR1pos; Sinusoidal_endothelial,2,2.5497649518482706,0.0008989764674194,0.0,0,,0.5,20,CALM3-INSR; CALM1-INSR; AHSG-INSR; HRAS-INSR,0.3,0.09290708304488692,0.0,False,0.20965852190309686,False,0.26006914513598134,HIGH,77
FLT3,0.49858482615990063,Scar-associated_macrophages,1,1.418302713964514,6.950830628471376e-06,0.0,4,IL-2/STAT5 Signaling,0.5,10,FLT3LG-FLT3,0.5,0.05596121438399652,0.0,False,0.13800325221745496,False,0.2594077566605975,HIGH,78
FCN2,0.9539228205179409,Scar-associated_endothelial_ACKR1pos; Sinusoidal_endothelial,2,6.331710507417015,1.6341450328957985e-08,0.0,0,,0.25,5,FCN2-LRP1,0.3,0.0,0.0,False,0.0,False,0.2582845641035882,HIGH,79
ADAM17,0.37739628522484026,Kupffer_cells,1,1.7842786568110027,0.0047328811056012,0.02,9,KRAS Signaling Up; Wnt-beta Catenin Signaling,0.5,20,ADAM17-IL6R; ADAM17-ITGA5; ADAM17-RHBDF2,0.5,0.1046103178348268,0.0,False,0.1884242399687935,False,0.25789547249899375,HIGH,80
CD59,0.22001970837849488,T_cells_low_quality,1,0.9407779960931016,0.0265229990329303,0.28,15,Epithelial Mesenchymal Transition; Complement,0.5,20,CD59-STAB1; CD59-CD2,0.5,0.08982314573942622,0.0,False,0.1601471741674493,False,0.2574818042356729,HIGH,81
SSTR2,0.5916952060605768,Myofibroblasts,1,3.013539585167994,0.0280981478636986,0.0,0,,0.0,0,,1.0,0.06451869663287997,0.0,False,0.1466895154729207,False,0.2564721426912735,HIGH,82
TNFRSF1A,0.0,,0,0.0,1.0,0.0,11,Xenobiotic Metabolism; PI3K/AKT/mTOR  Signaling; IL-6/JAK/STAT3 Signaling,0.5,20,LTB-TNFRSF1A,0.0,0.5504633743367618,0.8581531938985687,True,0.29149085426669397,False,0.2563394717241945,HIGH,83
FABP4,1.0,Endothelial_capillary; Scar-associated_endothelial_ACKR1pos; Scar-associated_endothelial_PLVAPpos; Sinusoidal_endothelial,4,10.177851891963272,1.0241138116558736e-19,0.04,13,Adipogenesis,0.0,0,,0.3,0.03847117156346533,0.0,False,0.06859088893048892,False,0.2559064262304397,HIGH,84
CLEC14A,0.6462265088240973,Vascular_smooth_muscle,1,4.07666086234239,7.874533826553191e-05,0.0,0,,0.5,20,MMRN2-CLEC14A,0.5,0.0,0.0,False,0.0,False,0.25424530176481946,HIGH,85
CXCR4,0.43033711375600825,NK_T_cells,1,1.5965400575368551,0.0002374551347605,0.1,25,Hypoxia; Glycolysis; KRAS Signaling Up; mTORC1 Signaling; PI3K/AKT/mTOR  Signaling,0.5,20,HMGB1-CXCR4; TFF3-CXCR4,0.5,0.054240444784635224,0.0,False,0.0967061873232985,False,0.25413346204585524,HIGH,86
HLA-DRB5,0.5436363123229316,Endothelial_capillary; Myofibroblasts; Scar-associated_endothelial_ACKR1pos,3,2.1333440888033306,0.0184618063183934,0.0,0,,0.5,20,HLA-DRB5-LAG3; HLA-DRB5-CD4,0.7,0.0,0.0,False,0.0,False,0.2537272624645863,HIGH,87
PLAU,0.2962460606883309,Kupffer_cells,1,1.463703004093614,0.0206651707285592,0.45999999999999996,32,Hypoxia; KRAS Signaling Up; Cholesterol Homeostasis; Complement; Epithelial Mesenchymal Transition,0.5,20,PLAU-PLAUR; PLAU-ITGA3; PLAU-ST14; PLAU-IGF2R; PLAU-ITGB5,0.5,0.0,0.0,False,0.0,False,0.25324921213766616,HIGH,88
MAFB,1.0,Sinusoidal_endothelial,1,3.0023501821439686,4.2771675658989215e-17,0.02,5,Pancreas Beta Cells; KRAS Signaling Up,0.0,0,,0.5,0.0,0.0,False,0.0,False,0.253,HIGH,89
