gene_symbol,de_score,de_celltypes,n_de_celltypes,max_log2fc,min_padj,pathway_score,n_pathways,pathway_names,lr_score,n_lr_interactions,lr_pairs,specificity_score,genetic_score,ot_genetic_score,has_genetic_evidence,druggability_score,convergence_bonus,composite_score,priority_tier,rank
RUNX2,0.24124093722615167,CD4_T_cells,1,1.0708849244050287,0.0228592506334242,0.0,0,,0.0,0,,0.5,0.0,0.0,False,0.0,False,0.09824818744523034,LOW,867
KATNAL1,0.0,,0,0.0,1.0,0.0,0,,0.0,0,,0.0,0.3037347109268059,0.4886445849441364,True,0.1485310461368442,False,0.09821333465222809,LOW,868
FGFR2,0.0,,0,0.0,1.0,0.0,0,,0.5,20,TIMP1-FGFR2,0.0,0.04450207865795337,0.0,False,0.0793434930716368,False,0.09802704362523386,LOW,869
SEC22B,0.22413064066421828,Kupffer_cells,1,1.0032266139196686,0.031180408283307,0.02,5,Protein Secretion,0.0,0,,0.5,0.0,0.0,False,0.0,False,0.09782612813284366,LOW,870
FEM1C,0.2387438277439241,Kupffer_cells,1,1.1224382143926783,0.0327524164435737,0.0,0,,0.0,0,,0.5,0.0,0.0,False,0.0,False,0.09774876554878482,LOW,871
SNRPB,0.17766246509718014,Kupffer_cells,1,0.6885695916848386,0.0370777663392772,0.08,15,Myc Targets V1; E2F Targets,0.0,0,,0.5,0.0,0.0,False,0.0,False,0.09753249301943603,LOW,872
FGFR1,0.0,,0,0.0,1.0,0.15,2,Angiogenesis,0.5,20,HSPG2-FGFR1; SPARC-FGFR1; FGF2-FGFR1; FGF12-FGFR1,0.0,0.0,0.0,False,0.0,False,0.0975,LOW,873
PRCP,0.23707171091815915,Kupffer_cells,1,0.9036457637201076,0.0114000436752645,0.0,4,Complement,0.0,0,,0.5,0.0,0.0,False,0.0,False,0.09741434218363183,LOW,874
STOM,0.23702599890597098,Kupffer_cells,1,1.1116016566389717,0.0330973016800911,0.0,4,Adipogenesis; p53 Pathway,0.0,0,,0.5,0.0,0.0,False,0.0,False,0.0974051997811942,LOW,875
PLP2,0.2216172382051076,NK_T_cells,1,1.0678176849264582,0.0477867562747972,0.02,4,Adipogenesis,0.0,0,,0.5,0.0,0.0,False,0.0,False,0.09732344764102152,LOW,876
NUDT14,0.23567308880931387,CD4_T_cells,1,1.1802137273526851,0.0495236172468242,0.0,0,,0.0,0,,0.5,0.0,0.0,False,0.0,False,0.09713461776186277,LOW,877
STX11,0.23538942562457815,Kupffer_cells,1,1.0441384771797615,0.024954601173264,0.0,0,,0.0,0,,0.5,0.0,0.0,False,0.0,False,0.09707788512491564,LOW,878
SCD,0.20497924551175623,Kupffer_cells,1,0.9464666982518152,0.0486338410356235,0.04,12,Cholesterol Homeostasis; Myogenesis; Androgen Response; mTORC1 Signaling,0.0,0,,0.5,0.0,0.0,False,0.0,False,0.09699584910235125,LOW,879
TRA2A,0.23487665761602095,Kupffer_cells,1,1.1285860460909651,0.0392064961072839,0.0,0,,0.0,0,,0.5,0.0,0.0,False,0.0,False,0.0969753315232042,LOW,880
RPS18,0.1598218420293837,Kupffer_cells,1,0.5730204965423454,0.0407081638657922,0.1,9,Myc Targets V1,0.0,0,,0.5,0.0,0.0,False,0.0,False,0.09696436840587674,LOW,881
EPB41L3,0.2343418658032581,Kupffer_cells,1,1.0724004093463084,0.0300202467359705,0.0,0,,0.0,0,,0.5,0.0,0.0,False,0.0,False,0.09686837316065162,LOW,882
TRMT1,0.23406256608811435,Kupffer_cells,1,0.9943983694465568,0.0203578254420016,0.0,0,,0.0,0,,0.5,0.0,0.0,False,0.0,False,0.09681251321762288,LOW,883
MYCT1,0.23365490771194042,Sinusoidal_endothelial,1,1.0658287033330394,0.0298029852435652,0.0,0,,0.0,0,,0.5,0.0,0.0,False,0.0,False,0.09673098154238809,LOW,884
